ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600519.SH,20230103,1531.7367,1538.1337,1509.449,1530.6838,1727.0,3.01,0.1743,26033.8,4487760.231,0.884783
600519.SH,20230104,1530.675,1538.3726,1518.288,1526.2599,1730.01,-5.0,-0.289,20415.75,3523582.306,0.884783
600519.SH,20230105,1536.8684,1593.4946,1533.3293,1593.4946,1725.01,75.99,4.4052,47942.85,8541587.089,0.884783
600519.SH,20230106,1598.0247,1603.1387,1581.1076,1595.9454,1801.0,2.77,0.1538,24903.75,4480838.898,0.884783
600519.SH,20230109,1623.5772,1636.8312,1599.5288,1629.0628,1803.77,37.43,2.0751,30977.23,5684181.147,0.884783
600519.SH,20230110,1627.1694,1649.6783,1619.5957,1640.7862,1841.2,13.25,0.7196,22731.73,4204783.734,0.884783
600519.SH,20230111,1642.1576,1645.6968,1625.2052,1632.3808,1854.45,-9.5,-0.5123,22720.31,4201487.773,0.884783
600519.SH,20230112,1635.0794,1642.1576,1621.8076,1622.6924,1844.95,-10.95,-0.5935,17193.17,3162637.136,0.884783
600519.SH,20230113,1631.6995,1670.4707,1628.0011,1669.5859,1834.0,53.0,2.8899,31939.65,5969876.222,0.884783
600519.SH,20230116,1668.7011,1712.0555,1664.2772,1692.5018,1887.0,25.9,1.3725,36848.26,7059982.64,0.884783
600519.SH,20230117,1692.7318,1701.4381,1676.6642,1688.1664,1912.9,-4.9,-0.2562,21299.23,4068321.409,0.884783
600519.SH,20230118,1693.4751,1703.4731,1672.2403,1674.8946,1908.0,-15.0,-0.7862,21062.93,4008665.438,0.884783
600519.SH,20230119,1674.4522,1674.4699,1651.0055,1663.5782,1893.0,-12.79,-0.6756,23438.89,4401994.437,0.884783
600519.SH,20230120,1671.5236,1679.5397,1643.9272,1645.7056,1880.21,-20.2,-1.0743,25608.75,4807356.071,0.884783
600519.SH,20230130,1689.0511,1689.0511,1663.3924,1670.4707,1860.01,27.99,1.5048,35922.55,6799756.571,0.884783
600519.SH,20230131,1677.9914,1681.0439,1621.8696,1633.0975,1888.0,-42.24,-2.2373,32990.68,6128311.548,0.884783
600519.SH,20230201,1641.2552,1644.812,1602.6963,1632.3985,1845.76,-0.79,-0.0428,33973.89,6244678.925,0.884783
600519.SH,20230202,1635.4156,1644.812,1615.6141,1624.5593,1844.97,-8.86,-0.4802,29758.86,5465509.51,0.884783
600519.SH,20230203,1610.3054,1615.6141,1588.7875,1608.5359,1836.11,-18.11,-0.9863,34944.9,6324635.031,0.884783
600519.SH,20230206,1574.9141,1588.1859,1557.2185,1588.1859,1818.0,-23.0,-1.2651,42660.95,7595739.044,0.884783
600519.SH,20230207,1599.7588,1600.3959,1581.7535,1589.9554,1795.0,2.0,0.1114,24321.71,4373671.735,0.884783
600519.SH,20230208,1592.6186,1597.8919,1570.4902,1578.4532,1797.0,-13.0,-0.7234,16675.77,2980574.806,0.884783
600519.SH,20230209,1573.1445,1618.9321,1570.499,1608.5359,1784.0,34.0,1.9058,29753.66,5401399.088,0.884783
600519.SH,20230210,1601.5461,1608.9694,1593.5388,1601.4576,1818.0,-8.0,-0.44,17984.51,3253859.317,0.884783
600519.SH,20230213,1601.4576,1658.5261,1601.4576,1642.4673,1810.0,46.35,2.5608,38146.7,7058382.498,0.884783
600519.SH,20230214,1642.5646,1643.3963,1623.5772,1631.3544,1856.35,-12.56,-0.6766,19565.76,3601769.574,0.884783
600519.SH,20230215,1631.3456,1641.5383,1624.2939,1628.8859,1843.79,-2.79,-0.1513,18176.91,3351422.211,0.884783
600519.SH,20230216,1629.1867,1669.5859,1617.3837,1647.3071,1841.0,20.82,1.1309,33245.95,6196915.13,0.884783
600519.SH,20230217,1636.9905,1657.199,1610.3497,1610.9956,1861.82,-41.04,-2.2043,26442.83,4880328.952,0.884783
600519.SH,20230220,1611.1902,1662.3307,1607.8281,1658.9685,1820.78,54.22,2.9778,29668.69,5488800.056,0.884783
600519.SH,20230221,1658.0837,1658.0837,1637.7337,1651.8903,1875.0,-8.0,-0.4267,18750.52,3491633.51,0.884783
600519.SH,20230222,1641.2817,1649.1474,1620.7459,1624.462,1867.0,-31.0,-1.6604,21869.16,4031016.045,0.884783
600519.SH,20230223,1628.0011,1635.7872,1597.2549,1608.5359,1836.0,-18.0,-0.9804,21880.97,3983991.208,0.884783
600519.SH,20230224,1601.5549,1601.6257,1576.8429,1581.9924,1818.0,-30.0,-1.6502,24634.61,4415621.498,0.884783
600519.SH,20230227,1573.5869,1605.8815,1570.5079,1601.8204,1788.0,22.41,1.2534,22064.89,3978128.676,0.884783
