ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600031.SH,20220104,20.9428,21.0347,20.6947,20.952,22.8,0.0,0.0,770091.19,1746315.241,0.918949
600031.SH,20220105,20.9612,21.4023,20.8234,21.2093,22.8,0.28,1.2281,1275573.66,2938928.124,0.918949
600031.SH,20220106,21.0531,22.1467,21.0072,21.9169,23.08,0.77,3.3362,2285160.44,5431798.56,0.918949
600031.SH,20220107,21.8434,23.0748,21.825,22.7991,23.85,0.96,4.0252,3204665.66,7939405.146,0.918949
600031.SH,20220110,23.1575,23.2586,22.4315,22.8451,24.81,0.05,0.2015,1600712.97,3971702.236,0.918949
600031.SH,20220111,22.9278,23.1116,22.4407,22.5326,24.86,-0.34,-1.3677,1407033.41,3482311.704,0.918949
600031.SH,20220112,22.5326,22.6429,22.0731,22.5051,24.52,-0.03,-0.1223,1082693.57,2630163.625,0.918949
600031.SH,20220113,22.4407,22.6153,21.9353,21.9813,24.49,-0.57,-2.3275,1053381.19,2539661.201,0.918949
600031.SH,20220114,21.9445,21.9445,21.4391,21.485,23.92,-0.54,-2.2575,950402.58,2239823.074,0.918949
600031.SH,20220117,21.4207,21.5953,21.2185,21.5218,23.38,0.04,0.1711,762110.29,1776111.387,0.918949
600031.SH,20220118,21.3747,21.871,21.2093,21.6321,23.42,0.12,0.5124,1182797.99,2772653.184,0.918949
600031.SH,20220119,21.8434,22.5142,21.7607,22.3764,23.54,0.81,3.441,1967515.21,4778344.562,0.918949
600031.SH,20220120,22.3764,22.6061,21.8067,22.2845,24.35,-0.1,-0.4107,1275798.35,3082871.575,0.918949
600031.SH,20220121,22.1007,22.1191,21.2277,21.3012,24.25,-1.07,-4.4124,1595809.26,3725834.181,0.918949
600031.SH,20220124,21.0899,21.3012,20.7039,20.9061,23.18,-0.43,-1.855,1016891.4,2315292.657,0.918949
